Timestamp,CPU Utilization
2024-07-02 15:58:40,19.2
2024-07-02 15:59:10,11.6
2024-07-02 15:59:40,8.1
2024-07-02 16:00:10,11.6
2024-07-02 16:00:40,13.6
2024-07-02 16:01:10,16.6
2024-07-02 16:01:40,20.4
2024-07-02 16:02:10,25.4
2024-07-02 16:02:40,32.4
2024-07-02 16:03:10,30.7
2024-07-02 16:03:40,36.6
2024-07-02 16:04:10,35.1
2024-07-02 16:04:40,43.2
2024-07-02 16:05:10,47.4
2024-07-02 16:05:40,46.1
2024-07-02 16:06:10,54.4
2024-07-02 16:06:40,51.2
2024-07-02 16:07:10,48.1
2024-07-02 16:07:40,51.8
2024-07-02 16:08:10,61.8
2024-07-02 16:08:40,61.1
2024-07-02 16:09:10,59.2
2024-07-02 16:09:40,62.0
2024-07-02 16:10:10,19.8
2024-07-02 16:10:40,21.1
2024-07-02 16:11:10,21.2
2024-07-02 16:11:40,24.0
2024-07-02 16:12:10,15.9
2024-07-02 16:12:40,12.8
2024-07-02 16:13:11,16.5
2024-07-02 16:13:41,23.1
2024-07-02 16:14:11,16.2
2024-07-02 16:14:41,7.2
2024-07-02 16:15:11,0.5
2024-07-02 16:15:41,1.5
2024-07-02 16:16:11,0.1
2024-07-02 16:16:41,0.3
2024-07-02 16:17:11,0.6
2024-07-02 16:17:41,0.5
2024-07-02 16:18:11,0.8
2024-07-02 16:18:41,0.3
2024-07-02 16:19:11,0.4
2024-07-02 16:19:41,0.5
2024-07-02 16:20:11,0.5
2024-07-02 16:20:41,0.6
2024-07-02 16:21:11,0.5
2024-07-02 16:21:41,3.9
2024-07-02 16:22:11,11.8
