Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get_data/1,125,0,6,7.35842925601537,2.9324659999474534,29.692974000226968,93.528,0.10411584463529065,0.0,6,7,8,9,12,15,22,27,30,30,30
GET,/get_data/10,132,0,6,8.88205746969623,3.299651999896014,67.21028900028614,120.63636363636364,0.10994633193486693,0.0,6,7,9,10,14,29,43,45,67,67,67
GET,/get_data/100,128,0,6,7.541212656279939,2.6110789999620465,47.94583300008526,122.3046875,0.10661462490653763,0.0,6,7,9,9,12,13,23,32,48,48,48
GET,/get_data/101,136,0,6,8.084856963220693,2.5798440001381095,48.15775899987784,121.28676470588235,0.11327803896319623,0.0,6,7,8,9,13,22,38,41,48,48,48
GET,/get_data/102,116,0,6,7.502164120678807,2.511017999950127,39.37192000012146,122.22413793103448,0.09661950382154973,0.0,6,7,8,8,12,15,28,31,39,39,39
GET,/get_data/103,119,0,6,7.940692268927988,2.6465439998446527,57.995002000097884,121.43697478991596,0.0991182840927967,0.0,6,7,8,9,12,18,42,43,58,58,58
GET,/get_data/104,120,0,6,7.874456724994161,3.183652999723563,47.4505339998359,120.21666666666667,0.09995121084987903,0.0,6,7,8,9,11,24,33,37,47,47,47
GET,/get_data/105,151,0,7,9.01758056953374,2.477876999819273,62.58531000003131,123.60264900662251,0.12577194031943112,0.0,7,8,9,10,16,24,45,57,63,63,63
GET,/get_data/106,117,0,7,7.469587923039328,2.3283669997908873,40.983967000101984,122.22222222222223,0.09745243057863205,0.0,7,7,8,9,10,15,17,24,41,41,41
GET,/get_data/107,141,0,6,6.989032787214778,2.80140399991069,21.10155099990152,121.18439716312056,0.11744267274860785,0.0,6,7,8,8,10,13,19,19,21,21,21
GET,/get_data/108,139,0,6,7.498518165467961,2.805718999979945,55.142440000054194,121.46762589928058,0.1157768192344432,0.0,6,7,8,8,11,13,27,51,55,55,55
GET,/get_data/109,129,0,6,7.69984398448463,2.5045150000551075,44.85245500018209,121.6046511627907,0.10744755166361995,0.0,6,7,8,9,11,14,34,38,45,45,45
GET,/get_data/11,143,0,6,7.533180608388139,2.556084999923769,48.82485100006306,122.92307692307692,0.1191085262627725,0.0,6,7,8,9,12,15,27,31,49,49,49
GET,/get_data/110,120,0,6,9.243344058309807,2.745879000030982,59.77238900004522,121.43333333333334,0.09995121084987903,0.0,6,8,10,11,16,32,42,52,60,60,60
GET,/get_data/111,126,0,6,8.240727857120932,2.748793000137084,86.26739900000757,123.30952380952381,0.10494877139237298,0.0,6,7,8,8,13,16,37,42,86,86,86
GET,/get_data/112,150,0,6,7.891704953335648,2.840317999925901,70.15010200029792,121.26,0.12493901356234878,0.0,6,7,8,8,11,16,37,67,70,70,70
GET,/get_data/113,124,0,6,7.441909870954811,2.5433529999645543,26.427019000038854,121.31451612903226,0.10328291787820833,0.0,6,8,8,9,12,14,21,24,26,26,26
GET,/get_data/114,140,0,6,7.65896475713654,3.020237000328052,42.46048899995003,120.18571428571428,0.11660974599152553,0.0,6,7,8,9,11,19,26,28,42,42,42
GET,/get_data/115,147,0,6,8.14330129251206,2.4978989999908663,73.48154999999679,121.26530612244898,0.1224402332911018,0.0,6,7,8,9,12,16,40,44,73,73,73
GET,/get_data/116,129,0,6,6.801909899232394,2.4938629999269324,24.316410000210453,122.30232558139535,0.10744755166361995,0.0,6,7,8,8,10,11,16,20,24,24,24
GET,/get_data/117,122,0,6,8.042924918031456,2.6465870000720315,53.042808000100194,121.42622950819673,0.10161706436404368,0.0,6,8,8,9,11,14,35,46,53,53,53
GET,/get_data/118,132,0,6,7.692631196987625,3.1770030000188854,43.41695899984188,122.39393939393939,0.10994633193486693,0.0,6,7,8,9,13,16,21,27,43,43,43
GET,/get_data/119,131,0,7,8.706983923676344,2.8010819999053638,45.92449999972814,123.3969465648855,0.1091134051777846,0.0,7,8,9,10,14,22,37,41,46,46,46
GET,/get_data/12,137,0,6,7.347217525540497,2.6860130001296056,27.974673000244366,123.7007299270073,0.11411096572027855,0.0,6,7,8,9,12,17,27,27,28,28,28
