Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1719977013,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1719977014,10,,Aggregated,0.000000,0.000000,21,26,26,29,30,30,30,30,30,30,30,10,0,21,22.872482100001434,16.514166999968438,30.105949000017063,129.6
1719977015,10,,Aggregated,0.000000,0.000000,21,21,26,26,29,30,30,30,30,30,30,12,0,21,19.953580250008446,5.0293199999487115,30.105949000017063,130.0
1719977016,10,,Aggregated,0.000000,0.000000,21,21,26,26,29,30,30,30,30,30,30,13,0,21,18.796550923088244,4.912199000045803,30.105949000017063,130.23076923076923
1719977017,10,,Aggregated,0.000000,0.000000,21,21,26,26,29,30,30,30,30,30,30,13,0,21,18.796550923088244,4.912199000045803,30.105949000017063,130.23076923076923
1719977018,10,,Aggregated,6.000000,0.000000,21,21,26,26,29,30,30,30,30,30,30,14,0,20,17.79169671429567,4.728591999992204,30.105949000017063,130.35714285714286
1719977019,10,,Aggregated,6.000000,0.000000,21,21,26,26,29,30,30,30,30,30,30,14,0,20,17.79169671429567,4.728591999992204,30.105949000017063,130.35714285714286
1719977020,10,,Aggregated,6.000000,0.000000,21,21,26,26,29,30,30,30,30,30,30,14,0,20,17.79169671429567,4.728591999992204,30.105949000017063,130.35714285714286
1719977021,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977022,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977023,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977024,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977025,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977026,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977027,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977028,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977029,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977030,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977031,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977032,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977033,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977034,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977035,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977036,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977037,10,,Aggregated,2.800000,0.000000,20,21,26,26,29,30,30,30,30,30,30,15,0,20,16.94221786668398,4.728591999992204,30.105949000017063,130.46666666666667
1719977038,10,,Aggregated,0.000000,0.000000,20,21,26,26,29,30,30,30,30,30,30,16,0,19,16.18655587500939,4.728591999992204,30.105949000017063,130.625
1719977039,10,,Aggregated,0.000000,0.000000,19,21,21,26,29,30,30,30,30,30,30,18,0,17,14.889879000002615,4.010033999975349,30.105949000017063,131.11111111111111
1719977040,10,,Aggregated,0.000000,0.000000,17,21,21,26,29,30,30,30,30,30,30,20,0,6,13.893633700001828,4.010033999975349,30.105949000017063,131.4
1719977041,10,,Aggregated,0.100000,0.000000,6,20,21,21,26,29,30,30,30,30,30,21,0,6,13.409471761904223,3.726232999952117,30.105949000017063,131.52380952380952
1719977042,10,,Aggregated,0.100000,0.000000,6,20,21,21,26,29,30,30,30,30,30,21,0,6,13.409471761904223,3.726232999952117,30.105949000017063,131.52380952380952
1719977043,10,,Aggregated,0.500000,0.000000,6,20,21,21,26,29,30,30,30,30,30,22,0,5,12.945830272728513,3.209359000038603,30.105949000017063,131.5909090909091
1719977044,20,,Aggregated,0.500000,0.000000,6,20,21,21,26,29,30,30,30,30,30,22,0,5,12.945830272728513,3.209359000038603,30.105949000017063,131.5909090909091
