Timestamp,CPU Utilization
2024-07-03 08:52:03,9.2
2024-07-03 08:52:33,26.3
2024-07-03 08:53:03,7.3
2024-07-03 08:53:33,19.4
2024-07-03 08:54:03,10.9
2024-07-03 08:54:33,9.2
2024-07-03 08:55:03,11.2
2024-07-03 08:55:33,16.3
2024-07-03 08:56:03,20.4
2024-07-03 08:56:33,22.8
2024-07-03 08:57:03,19.2
2024-07-03 08:57:33,22.6
2024-07-03 08:58:03,14.8
2024-07-03 08:58:33,25.3
2024-07-03 08:59:03,30.1
2024-07-03 08:59:33,16.2
2024-07-03 09:00:03,23.5
2024-07-03 09:00:33,34.2
2024-07-03 09:01:03,23.4
2024-07-03 09:01:33,36.6
2024-07-03 09:02:03,52.0
2024-07-03 09:02:33,30.5
2024-07-03 09:03:03,29.1
2024-07-03 09:03:34,47.2
2024-07-03 09:04:04,35.0
2024-07-03 09:04:34,21.6
2024-07-03 09:05:04,58.5
2024-07-03 09:05:34,47.8
2024-07-03 09:06:04,31.9
2024-07-03 09:06:34,49.1
2024-07-03 09:07:04,61.0
2024-07-03 09:07:34,31.6
2024-07-03 09:08:04,41.9
2024-07-03 09:08:34,56.7
2024-07-03 09:09:04,45.5
2024-07-03 09:09:34,29.4
2024-07-03 09:10:04,62.0
2024-07-03 09:10:34,42.5
2024-07-03 09:11:04,27.2
2024-07-03 09:11:34,59.6
2024-07-03 09:12:04,62.2
2024-07-03 09:12:34,33.1
2024-07-03 09:13:04,54.5
2024-07-03 09:13:34,10.6
2024-07-03 09:14:04,5.2
2024-07-03 09:14:34,3.9
2024-07-03 09:15:04,6.1
2024-07-03 09:15:34,3.8
2024-07-03 09:16:04,5.1
