Timestamp,CPU Utilization
2024-07-03 08:51:49,10.7
2024-07-03 08:52:19,5.2
2024-07-03 08:52:49,5.3
2024-07-03 08:53:19,7.3
2024-07-03 08:53:49,16.4
2024-07-03 08:54:19,12.4
2024-07-03 08:54:49,21.2
2024-07-03 08:55:19,8.1
2024-07-03 08:55:49,12.4
2024-07-03 08:56:19,15.4
2024-07-03 08:56:49,13.9
2024-07-03 08:57:19,17.6
2024-07-03 08:57:49,20.0
2024-07-03 08:58:19,18.3
2024-07-03 08:58:49,14.3
2024-07-03 08:59:19,28.0
2024-07-03 08:59:49,26.7
2024-07-03 09:00:19,20.2
2024-07-03 09:00:49,31.1
2024-07-03 09:01:19,29.7
2024-07-03 09:01:49,23.0
2024-07-03 09:02:19,27.4
2024-07-03 09:02:49,44.2
2024-07-03 09:03:19,20.3
2024-07-03 09:03:49,20.5
2024-07-03 09:04:19,50.1
2024-07-03 09:04:49,33.1
2024-07-03 09:05:19,20.7
2024-07-03 09:05:49,52.2
2024-07-03 09:06:19,46.8
2024-07-03 09:06:49,33.1
2024-07-03 09:07:19,51.7
2024-07-03 09:07:49,57.5
2024-07-03 09:08:20,25.5
2024-07-03 09:08:50,44.7
2024-07-03 09:09:20,59.8
2024-07-03 09:09:50,39.1
2024-07-03 09:10:20,35.6
2024-07-03 09:10:50,70.7
2024-07-03 09:11:20,50.6
2024-07-03 09:11:50,21.4
2024-07-03 09:12:20,63.5
2024-07-03 09:12:50,59.2
2024-07-03 09:13:20,27.9
2024-07-03 09:13:50,3.7
2024-07-03 09:14:20,3.4
2024-07-03 09:14:50,4.6
2024-07-03 09:15:20,7.1
2024-07-03 09:15:50,4.0
