Timestamp,CPU Utilization
2024-07-03 08:51:54,9.7
2024-07-03 08:52:24,12.2
2024-07-03 08:52:54,7.3
2024-07-03 08:53:24,17.6
2024-07-03 08:53:54,8.9
2024-07-03 08:54:24,8.0
2024-07-03 08:54:54,8.2
2024-07-03 08:55:24,9.3
2024-07-03 08:55:54,17.3
2024-07-03 08:56:24,11.8
2024-07-03 08:56:54,10.0
2024-07-03 08:57:24,26.3
2024-07-03 08:57:54,15.7
2024-07-03 08:58:24,10.2
2024-07-03 08:58:54,23.9
2024-07-03 08:59:24,29.1
2024-07-03 08:59:54,18.6
2024-07-03 09:00:24,23.3
2024-07-03 09:00:54,35.8
2024-07-03 09:01:24,21.9
2024-07-03 09:01:54,16.9
2024-07-03 09:02:24,40.1
2024-07-03 09:02:54,27.9
2024-07-03 09:03:24,26.0
2024-07-03 09:03:55,49.8
2024-07-03 09:04:25,44.6
2024-07-03 09:04:55,26.1
2024-07-03 09:05:25,44.8
2024-07-03 09:05:55,52.6
2024-07-03 09:06:25,30.9
2024-07-03 09:06:55,37.7
2024-07-03 09:07:25,53.4
2024-07-03 09:07:55,38.2
2024-07-03 09:08:25,28.9
2024-07-03 09:08:55,64.6
2024-07-03 09:09:25,38.4
2024-07-03 09:09:55,25.1
2024-07-03 09:10:25,57.2
2024-07-03 09:10:55,59.2
2024-07-03 09:11:25,27.1
2024-07-03 09:11:55,57.8
2024-07-03 09:12:25,69.6
2024-07-03 09:12:55,36.3
2024-07-03 09:13:25,42.8
2024-07-03 09:13:55,6.5
2024-07-03 09:14:25,4.4
2024-07-03 09:14:55,4.9
2024-07-03 09:15:25,2.5
2024-07-03 09:15:55,5.2
