Timestamp,CPU Utilization
2024-07-03 08:52:08,9.7
2024-07-03 08:52:38,6.6
2024-07-03 08:53:08,7.4
2024-07-03 08:53:38,12.9
2024-07-03 08:54:08,7.7
2024-07-03 08:54:38,7.9
2024-07-03 08:55:08,9.2
2024-07-03 08:55:38,12.1
2024-07-03 08:56:08,11.7
2024-07-03 08:56:38,15.8
2024-07-03 08:57:08,19.5
2024-07-03 08:57:38,13.3
2024-07-03 08:58:08,24.6
2024-07-03 08:58:38,25.9
2024-07-03 08:59:08,17.9
2024-07-03 08:59:38,27.2
2024-07-03 09:00:08,31.7
2024-07-03 09:00:38,21.0
2024-07-03 09:01:08,29.4
2024-07-03 09:01:38,43.1
2024-07-03 09:02:08,27.3
2024-07-03 09:02:38,28.9
2024-07-03 09:03:08,46.9
2024-07-03 09:03:38,46.1
2024-07-03 09:04:08,29.3
2024-07-03 09:04:38,45.2
2024-07-03 09:05:08,54.2
2024-07-03 09:05:38,35.8
2024-07-03 09:06:09,42.5
2024-07-03 09:06:39,56.2
2024-07-03 09:07:09,33.4
2024-07-03 09:07:39,29.6
2024-07-03 09:08:09,61.2
2024-07-03 09:08:39,48.7
2024-07-03 09:09:09,18.5
2024-07-03 09:09:39,56.7
2024-07-03 09:10:09,61.5
2024-07-03 09:10:39,27.3
2024-07-03 09:11:09,52.8
2024-07-03 09:11:39,71.3
2024-07-03 09:12:09,36.3
2024-07-03 09:12:39,41.9
2024-07-03 09:13:09,75.7
2024-07-03 09:13:39,6.6
2024-07-03 09:14:09,4.9
2024-07-03 09:14:39,5.5
2024-07-03 09:15:09,5.4
2024-07-03 09:15:39,6.2
2024-07-03 09:16:09,4.9
