Timestamp,CPU Utilization
2024-07-03 08:52:05,16.4
2024-07-03 08:52:35,9.2
2024-07-03 08:53:05,4.4
2024-07-03 08:53:35,12.8
2024-07-03 08:54:05,6.7
2024-07-03 08:54:35,8.6
2024-07-03 08:55:06,7.2
2024-07-03 08:55:36,8.0
2024-07-03 08:56:06,7.3
2024-07-03 08:56:36,22.9
2024-07-03 08:57:06,17.7
2024-07-03 08:57:36,14.8
2024-07-03 08:58:06,14.4
2024-07-03 08:58:36,19.9
2024-07-03 08:59:06,20.8
2024-07-03 08:59:36,14.2
2024-07-03 09:00:06,27.4
2024-07-03 09:00:36,28.0
2024-07-03 09:01:06,13.7
2024-07-03 09:01:36,35.8
2024-07-03 09:02:06,33.4
2024-07-03 09:02:36,24.0
2024-07-03 09:03:06,37.4
2024-07-03 09:03:36,47.2
2024-07-03 09:04:06,26.2
2024-07-03 09:04:36,32.5
2024-07-03 09:05:06,54.8
2024-07-03 09:05:36,41.9
2024-07-03 09:06:06,29.5
2024-07-03 09:06:36,52.0
2024-07-03 09:07:06,44.0
2024-07-03 09:07:36,20.6
2024-07-03 09:08:06,55.1
2024-07-03 09:08:36,57.8
2024-07-03 09:09:06,19.6
2024-07-03 09:09:36,50.5
2024-07-03 09:10:06,72.0
2024-07-03 09:10:36,31.1
2024-07-03 09:11:06,38.6
2024-07-03 09:11:36,64.2
2024-07-03 09:12:07,47.7
2024-07-03 09:12:37,31.8
2024-07-03 09:13:07,70.1
2024-07-03 09:13:37,5.0
2024-07-03 09:14:07,3.5
2024-07-03 09:14:37,4.9
2024-07-03 09:15:07,3.9
2024-07-03 09:15:37,8.2
2024-07-03 09:16:07,10.3
